location,city,province,lat,lon,type
Carolyn Park,Carolyn Park,,14.668451,121.007362,city_block
Brookside Hills,Brookside Hills,,14.5889196,121.1234512,city_block
Javier Compound,Javier Compound,,14.5687909,121.136131,city_block
Vasquez Compound,Vasquez Compound,,14.708781,121.044281,city_block
Buenamar,Buenamar,,14.720171,121.038757,city_block
Cavite City,Cavite City,,14.4820919,120.908919,city
Makati,Makati,,14.5567949,121.0211226,city
"Javier Compound, Rizal",Javier Compound,Rizal,14.572196,121.1349705,city_block
Rosalia Village 2,Rosalia Village 2,,14.67911,121.037651,city_block
Don Carlos Village,Don Carlos Village,,14.5316498,121.0004049,city_block
Don Mariano Home Settlement,Don Mariano Home Settlement,,14.68648,121.096931,city_block
Natividad,Natividad,,14.7075497,121.0502403,city_block
Alta Vista Homes,Alta Vista Homes,,14.678464,121.0057739,city_block
Barcelona Compound,Barcelona Compound,,14.6692657,121.0285786,city_block
San Gregorio Village,San Gregorio Village,,14.53109,121.001617,city_block
Ina Executive Homes II,Ina Executive Homes II,,14.48389,121.015007,city_block
Doña Rosario Heights,Doña Rosario Heights,,14.71832,121.037498,city_block
Felo 1,Felo 1,,14.6987525,120.9591297,city_block
Tierra Gloria,Tierra Gloria,,14.67849,121.054611,city_block
San Miguel Compound,San Miguel Compound,,14.68073,121.044357,city_block
Sanville,Sanville,,14.670311,121.048431,city_block
San Pedro,San Pedro,,14.3639435,121.056771,city
Bayanihan,Bayanihan,,14.6147007,121.06912,city_block
Cebu City,Cebu City,,10.2934946,123.9018183,city
San Pablo,San Pablo,,14.0700502,121.3255974,city
Lucena,Lucena,,13.9357696,121.6128612,city
Lipa,Lipa,,13.941434,121.1642826,city
Tacloban,Tacloban,,11.2436208,125.0079543,city
Puerto Princesa,Puerto Princesa,,9.7398561,118.7438187,city
Ormoc,Ormoc,,11.0052935,124.6090753,city
Toledo,Toledo,,10.3749385,123.6344069,city
Cagayan de Oro,Cagayan de Oro,,8.4756417,124.6421532,city
Tagaytay,Tagaytay,,14.0992606,120.9391818,city
Dagupan,Dagupan,,16.043021,120.3337627,city
Laoag,Laoag,,18.1973235,120.5935433,city
"Valencia, Bukidnon",Valencia,Bukidnon,7.9028844,125.0898033,city
"Surigao City, Surigao del Norte",Surigao City,Surigao del Norte,9.7905028,125.4935697,city
Barangay 105,Barangay 105,,14.6479653,120.9928844,city_block
Barangay 103,Barangay 103,,14.6492413,120.9903154,city_block
Barangay 98,Barangay 98,,14.6521582,120.9945026,city_block
Barangay 66,Barangay 66,,14.6519596,120.9786475,city_block
Barangay 62,Barangay 62,,14.6507213,120.9822293,city_block
"Davao City, Davao del Sur",Davao City,Davao del Sur,7.0648306,125.6080623,city
"Danao, Cebu",Danao,Cebu,10.5194879,124.0271297,city
"Talisay, Cebu",Talisay,Cebu,10.2430205,123.8488245,city
"Carcar, Cebu",Carcar,Cebu,10.1055552,123.6406685,city
"Panabo, Davao del Norte",Panabo,Davao del Norte,7.29987,125.6807086,city
"Tagum, Davao del Norte",Tagum,Davao del Norte,7.4470784,125.8094853,city
Bago,Bago,,10.5376299,122.8352802,city
San Jose,San Jose,,15.7917408,120.989145,city
Mandaue,Mandaue,,10.3269049,123.9427295,city
Lapu-Lapu,Lapu-Lapu,,10.3126722,123.9488177,city
GK USTMed 63,GK USTMed 63,,14.8421779,121.0943849,city_block
GK USTMed 79,GK USTMed 79,,14.8435657,121.0932641,city_block
GK USTMed 77,GK USTMed 77,,14.8435907,121.0934588,city_block
GK Xavier Class 68,GK Xavier Class 68,,14.8419605,121.0925677,city_block
GK BMW-M3 English,GK BMW-M3 English,,14.83643,121.085097,city_block
GK Barrio Paraiso,GK Barrio Paraiso,,14.8436791,121.0936989,city_block
GK SW Florida Vita Mary James,GK SW Florida Vita Mary James,,14.835878,121.084574,city_block
GK Save A Heart,GK Save A Heart,,14.8367563,121.0913854,city_block
GK USTMed 58,GK USTMed 58,,14.8446378,121.0935355,city_block
GK Thomasian Village,GK Thomasian Village,,14.8377461,121.089475,city_block
GK Japan 2,GK Japan 2,,14.8382414,121.089377,city_block
GK Tau Mu,GK Tau Mu,,14.8369679,121.0917741,city_block
GK USTMed 73,GK USTMed 73,,14.843634,121.0939285,city_block
GK USTMed 74,GK USTMed 74,,14.8434781,121.0941722,city_block
GK Banaria Hills,GK Banaria Hills,,14.8381879,121.0907479,city_block
GK Agos Village,GK Agos Village,,14.836276,121.082878,city_block
GK Asperilla,GK Asperilla,,14.8380442,121.0885887,city_block
Caloocan,Caloocan,,14.651348,120.9724002,city
Escopa IV,Escopa IV,,14.6255354,121.0741217,city_block
Escopa II,Escopa II,,14.6243193,121.0742259,city_block
Escopa I,Escopa I,,14.6242377,121.0735339,city_block
Dumaguete,Dumaguete,,9.3054777,123.3080446,city
Bacolod,Bacolod,,10.6762836,122.9513786,city
Purok 5,Purok 5,,8.6605055,123.6022894,city_block
Purok 3,Purok 3,,8.6190941,123.7113869,city_block
Purok 6,Purok 6,,7.8462107,123.2498619,city_block
"Digos, Davao del Sur",Digos,Davao del Sur,6.7440957,125.3555319,city
La Carlota,La Carlota,,10.4268649,122.9208074,city
Malolos,Malolos,,14.843759,120.8113694,city
Batangas City,Batangas City,,13.7558718,121.0584755,city
